,Left,Middle,Right
141,Y Accel 42.4 Hz,X Accel 74.7 Hz,Z Accel 43.4 Hz
142,Z Accel 43.4 Hz,X Accel 39.4 Hz,Y Accel 43.4 Hz
143,Y Accel 43.4 Hz,Z Accel 66.7 Hz,X Accel 43.4 Hz
144,X Accel 43.4 Hz,X Accel 61.6 Hz,Z Gyro 42.4 Hz
145,Z Gyro 42.4 Hz,Y Accel 80.8 Hz,Y Gyro 42.4 Hz
146,Y Gyro 42.4 Hz,X Accel 14.1 Hz,X Gyro 43.4 Hz
147,X Gyro 43.4 Hz,Y Accel 81.8 Hz,X Accel 42.4 Hz
148,Z Accel 42.4 Hz,X Accel 27.3 Hz,Y Gyro 40.4 Hz
149,Y Accel 41.4 Hz,X Accel 70.7 Hz,Y Gyro 41.4 Hz
150,X Accel 42.4 Hz,X Accel 71.7 Hz,X Gyro 41.4 Hz
151,Z Gyro 41.4 Hz,Y Accel 82.8 Hz,Y Accel 41.4 Hz
